id,CVE_ENT,CVE_MUN,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,15,001,Acambay de Ruíz Castañeda,67872,128,1.885902876,64,0.942951438,63,0.928217822,0,0,0,0,0,0,1,0.014733616,0,0
2,15,002,Acolman,171507,767,4.472120671,64,0.373162611,284,1.655909088,419,2.443048972,0,0,0,0,0,0,0,0
3,15,003,Aculco,49266,61,1.23817643,61,1.23817643,0,0,0,0,0,0,0,0,0,0,0,0
4,15,004,Almoloya de Alquisiras,15333,38,2.478314746,38,2.478314746,0,0,0,0,0,0,0,0,0,0,0,0
5,15,005,Almoloya de Juárez,174587,110,0.630058366,110,0.630058366,0,0,0,0,0,0,0,0,0,0,0,0
6,15,006,Almoloya del Río,12694,15,1.181660627,15,1.181660627,0,0,0,0,0,0,0,0,0,0,0,0
7,15,007,Amanalco,23675,93,3.928194298,29,1.224920803,64,2.703273495,0,0,0,0,0,0,0,0,0,0
8,15,008,Amatepec,25244,58,2.297575662,58,2.297575662,0,0,0,0,0,0,0,0,0,0,0,0
9,15,009,Amecameca,53441,265,4.958739545,72,1.347280178,193,3.611459366,0,0,0,0,0,0,0,0,0,0
10,15,010,Apaxco,31898,39,1.222647188,39,1.222647188,0,0,0,0,0,0,0,0,0,0,0,0
11,15,011,Atenco,75489,69,0.914040456,69,0.914040456,0,0,0,0,0,0,0,0,0,0,0,0
12,15,012,Atizapán,12984,40,3.080714726,0,0,40,3.080714726,0,0,0,0,0,0,0,0,0,0
13,15,013,Atizapán de Zaragoza,523674,614,1.172485172,167,0.31890069,267,0.509859187,173,0.3303582,0,0,0,0,7,0.013367095,0,0
14,15,014,Atlacomulco,109384,745,6.810868134,136,1.243326263,602,5.503547137,0,0,0,0,0,0,7,0.063994734,0,0
15,15,015,Atlautla,31900,29,0.909090909,29,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0
16,15,016,Axapusco,29128,243,8.342488327,34,1.167261741,208,7.140895358,0,0,0,0,0,0,1,0.034331228,0,0
17,15,017,Ayapango,10053,3,0.298418383,3,0.298418383,0,0,0,0,0,0,0,0,0,0,0,0
18,15,018,Calimaya,68489,26,0.379623005,26,0.379623005,0,0,0,0,0,0,0,0,0,0,0,0
19,15,019,Capulhuac,36921,34,0.920885133,34,0.920885133,0,0,0,0,0,0,0,0,0,0,0,0
20,15,020,Coacalco de Berriozábal,293444,601,2.048090948,192,0.654298606,409,1.393792342,0,0,0,0,0,0,0,0,0,0
21,15,021,Coatepec Harinas,38643,91,2.354889631,29,0.750459333,62,1.604430298,0,0,0,0,0,0,0,0,0,0
22,15,022,Cocotitlán,15107,18,1.191500629,18,1.191500629,0,0,0,0,0,0,0,0,0,0,0,0
23,15,023,Coyotepec,40885,29,0.709306592,18,0.440259264,0,0,0,0,0,0,0,0,11,0.269047328,0,0
24,15,024,Cuautitlán,178847,549,3.069662896,160,0.894619423,360,2.012893702,0,0,0,0,0,0,29,0.16214977,0,0
25,15,025,Chalco,400057,993,2.482146294,206,0.514926623,602,1.504785568,164,0.409941583,0,0,0,0,5,0.012498219,16,0.039994301
26,15,026,Chapa de Mota,31737,45,1.417903394,45,1.417903394,0,0,0,0,0,0,0,0,0,0,0,0
27,15,027,Chapultepec,12772,11,0.861259004,11,0.861259004,0,0,0,0,0,0,0,0,0,0,0,0
28,15,028,Chiautla,30045,46,1.531036778,33,1.098352471,0,0,0,0,0,0,0,0,13,0.432684307,0,0
29,15,029,Chicoloapan,200750,63,0.313823163,63,0.313823163,0,0,0,0,0,0,0,0,0,0,0,0
30,15,030,Chiconcuac,27692,63,2.275025278,21,0.758341759,42,1.516683519,0,0,0,0,0,0,0,0,0,0
31,15,031,Chimalhuacán,705193,776,1.100407973,309,0.438177917,304,0.43108766,160,0.226888242,0,0,0,0,3,0.004254155,0,0
